,강수량,변화량
0,2.7,-567.3765993214374
1,0.0,3577.5846918966126
2,0.0,2596.6127629249804
3,0.0,4231.77766679985
4,0.0,4191.150767104547
5,0.0,1614.5719205628302
6,0.0,-1187.5575349685278
7,0.0,1244.4731528617885
8,0.0,-454.7939661549135
9,1.2,1301.5755634407542
10,0.0,-947.3205889702222
11,0.0,1735.543384489476
12,0.0,4799.9446379303845
13,2.5,6334.114617303432
14,0.0,626.6162433242462
15,1.0,6109.461805128998
16,0.0,882.4415595097271
17,15.3,6575.2308933491095
18,0.0,2307.74198965908
19,0.7,4837.804094347985
20,72.7,-4149.731459440735
21,1.4,8230.50197803093
22,0.0,9921.783166201378
23,1.0,-1056.045640357468
24,0.0,130.52657102972444
25,0.0,284.0706991423722
26,46.7,-5716.177927976285
27,0.0,4417.100664617363
28,0.0,8605.50264748116
29,0.0,-231.76500247150034
30,41.8,-8880.615941913587
31,5.2,1926.2493307554869
32,0.0,5171.015455648727
33,3.5,2982.9250598394956
34,0.0,8318.38750518898
35,0.0,704.3891475114615
36,0.0,5141.579500443731
37,0.0,8590.095784495978
38,0.0,8581.69412487501
39,4.4,134.85640031940784
40,0.0,9251.406313579982
41,0.0,1185.00743308878
42,0.0,650.9930579240681
43,0.0,531.0684555452208
44,0.0,502.1732849108648
45,0.0,-3644.658134616404
46,0.0,106.6228915466927
47,0.0,2184.962537236075
48,0.4,4451.513635744552
49,0.0,708.359060174651
50,0.0,-999.897369880895
51,0.0,-176.102563388391
52,0.0,1619.2494353011898
53,0.0,273.5691383386802
54,0.5,1661.4892550406112
55,0.0,1536.188665964306
56,0.0,-1681.6397593940137
57,0.0,2088.1266526876134
58,8.8,-1727.6519785977453
59,0.4,2175.624829792827
60,0.0,4904.987575151454
61,0.0,-583.6706339730845
62,0.0,2488.9308132528986
63,0.0,-355.0100586691169
64,5.1,-4793.538316166532
65,0.0,5190.0515979998945
66,1.4,1612.1433255052307
