,최종용도,대여소_ID,temp_num,출근대여량,출근반납량,대여-반납량_출근,차이절대값_출근,총이용량_출근,퇴근대여량,퇴근반납량,대여-반납량_퇴근,차이절대값_퇴근,총이용량_퇴근,출퇴근_총이용량,차이절대값합
0,상업,ST-1064,180,3764,8489,-4725,4725,12253,9005,5562,3443,3443,14567,26820,8168
1,상업,ST-1688,188,881,7017,-6136,6136,7898,7922,3320,4602,4602,11242,19140,10738
2,상업,ST-1712,193,698,11208,-10510,10510,11906,7548,754,6794,6794,8302,20208,17304
3,상업,ST-2031,182,18661,22323,-3662,3662,40984,27533,22552,4981,4981,50085,91069,8643
4,상업,ST-2033,195,927,17721,-16794,16794,18648,14171,3574,10597,10597,17745,36393,27391
5,상업,ST-2035,194,1306,13073,-11767,11767,14379,10752,3553,7199,7199,14305,28684,18966
6,상업,ST-2044,190,1911,11044,-9133,9133,12955,6995,1434,5561,5561,8429,21384,14694
7,상업,ST-2569,176,889,4972,-4083,4083,5861,4068,1503,2565,2565,5571,11432,6648
8,상업,ST-2871,186,5501,10328,-4827,4827,15829,10568,6131,4437,4437,16699,32528,9264
9,상업,ST-2945,177,1201,6098,-4897,4897,7299,5019,2183,2836,2836,7202,14501,7733
10,상업,ST-3094,185,3151,9502,-6351,6351,12653,8887,6352,2535,2535,15239,27892,8886
11,상업,ST-3128,191,574,9570,-8996,8996,10144,6531,715,5816,5816,7246,17390,14812
12,상업,ST-3251,192,769,10360,-9591,9591,11129,6434,444,5990,5990,6878,18007,15581
13,주거,ST-1253,184,6247,652,5595,5595,6899,3257,6462,-3205,3205,9719,16618,8800
14,주거,ST-1352,181,6358,1513,4845,4845,7871,4304,7732,-3428,3428,12036,19907,8273
15,주거,ST-1645,187,7193,903,6290,6290,8096,3332,7134,-3802,3802,10466,18562,10092
16,주거,ST-2050,189,8593,806,7787,7787,9399,2765,7986,-5221,5221,10751,20150,13008
17,주거,ST-2056,179,6728,1794,4934,4934,8522,4114,7311,-3197,3197,11425,19947,8131
18,주거,ST-2557,178,8743,3994,4749,4749,12737,6461,9527,-3066,3066,15988,28725,7815
19,주거,ST-2965,183,6400,1023,5377,5377,7423,2366,5696,-3330,3330,8062,15485,8707
