,대여소_ID,강서_데이터_시작,강서_데이터_종료
0,ST-1062,3743,2281
1,ST-1063,5029,8839
2,ST-1064,3764,8489
3,ST-1065,5860,5507
4,ST-1067,3394,2906
5,ST-1069,5673,3377
6,ST-1249,3917,6278
7,ST-1250,313,1431
8,ST-1251,6075,5345
9,ST-1252,224,535
10,ST-1253,6247,652
11,ST-1254,4418,3223
12,ST-1338,2298,667
13,ST-1351,7208,3644
14,ST-1352,6358,1513
15,ST-1402,3119,1059
16,ST-1506,2600,4278
17,ST-1507,630,486
18,ST-1508,1045,472
19,ST-1509,1935,2183
20,ST-1510,4401,2007
21,ST-1511,2211,2843
22,ST-1512,2146,1399
23,ST-1514,4170,3598
24,ST-1515,825,1285
25,ST-1517,2995,3448
26,ST-1518,115,1190
27,ST-1519,4562,3692
28,ST-1520,744,303
29,ST-1645,7193,903
30,ST-1646,2443,1570
31,ST-1647,2059,1078
32,ST-1676,998,1089
33,ST-1688,881,7017
34,ST-1689,2772,2866
35,ST-1694,1512,860
36,ST-1695,186,430
37,ST-1708,303,1255
38,ST-1709,4546,4174
39,ST-1710,4798,682
40,ST-1711,367,2794
41,ST-1712,698,11208
42,ST-1713,464,1213
43,ST-1714,1088,2287
44,ST-1715,2066,3897
45,ST-1718,23088,22913
46,ST-1727,3115,2773
47,ST-2018,592,416
48,ST-2020,3084,4764
49,ST-2022,1903,670
50,ST-2023,3381,617
51,ST-2024,1911,5299
52,ST-2025,1139,364
53,ST-2026,1353,615
54,ST-2027,1939,433
55,ST-2028,740,92
56,ST-2029,4896,889
57,ST-2031,18661,22323
58,ST-2032,203,2713
59,ST-2033,927,17721
60,ST-2034,4387,1333
61,ST-2035,1306,13073
62,ST-2036,3399,4690
63,ST-2037,7917,6576
64,ST-2040,3231,5573
65,ST-2041,3677,2774
66,ST-2042,681,1402
67,ST-2044,1911,11044
68,ST-2045,11496,9759
69,ST-2046,943,4880
70,ST-2047,1417,2843
71,ST-2048,1904,5247
72,ST-2049,4127,590
73,ST-2050,8593,806
74,ST-2052,2367,3504
75,ST-2054,794,715
76,ST-2056,6728,1794
77,ST-2057,1902,2850
78,ST-2058,4033,671
79,ST-2059,3635,3394
80,ST-2399,583,76
81,ST-2411,5577,2825
82,ST-2412,4551,1089
83,ST-2419,4034,309
84,ST-2476,990,435
85,ST-2477,3357,417
86,ST-2478,683,327
87,ST-2479,1577,1111
88,ST-2480,1343,230
89,ST-2481,3532,575
90,ST-2482,4548,2295
91,ST-2483,1248,1188
92,ST-2484,325,296
93,ST-2486,1393,537
94,ST-2487,4341,2051
95,ST-2488,73,270
96,ST-2489,2922,849
97,ST-2490,2645,532
98,ST-2491,4118,595
99,ST-2492,194,158
100,ST-2494,932,244
101,ST-2538,3370,4607
102,ST-2539,567,59
103,ST-2550,1748,3403
104,ST-2551,719,405
105,ST-2552,892,1768
106,ST-2553,1418,301
107,ST-2555,2141,649
108,ST-2556,710,294
109,ST-2557,8743,3994
110,ST-2558,856,328
111,ST-2569,889,4972
112,ST-2611,2160,657
113,ST-2613,1540,1145
114,ST-2627,286,1415
115,ST-2752,903,425
116,ST-2789,3167,533
117,ST-2790,155,1042
118,ST-2831,3058,319
119,ST-2832,3683,925
120,ST-2857,1681,1689
121,ST-2858,3566,1576
122,ST-2871,5501,10328
123,ST-2883,2078,767
124,ST-2884,1078,3363
125,ST-2885,210,871
126,ST-2886,534,2546
127,ST-2887,715,257
128,ST-2888,2208,1399
129,ST-2889,3481,3802
130,ST-2890,1966,620
131,ST-2943,3297,3438
132,ST-2944,2004,1540
133,ST-2945,1201,6098
134,ST-2946,1259,289
135,ST-2947,688,440
136,ST-2965,6400,1023
137,ST-2992,1140,530
138,ST-2993,2661,3071
139,ST-2994,1161,894
140,ST-3031,394,3584
141,ST-3068,1863,2025
142,ST-3084,3245,4431
143,ST-3094,3151,9502
144,ST-3100,1851,1382
145,ST-3118,224,2537
146,ST-3125,860,461
147,ST-3128,574,9570
148,ST-3129,4067,880
149,ST-3137,244,3287
150,ST-3145,368,3174
151,ST-3183,207,63
152,ST-3226,1792,1572
153,ST-3251,769,10360
154,ST-3259,126,1870
155,ST-3260,99,2871
156,ST-3261,695,1601
157,ST-3263,34,531
158,ST-3276,112,67
159,ST-3281,60,42
160,ST-507,376,290
161,ST-508,2486,2729
162,ST-509,321,339
163,ST-510,2656,642
164,ST-511,1127,542
165,ST-512,2645,912
166,ST-513,3717,3851
167,ST-514,4002,755
168,ST-516,2956,4790
169,ST-517,1983,913
170,ST-518,2350,490
171,ST-519,997,1038
172,ST-520,455,946
173,ST-522,3060,3609
174,ST-523,1171,481
175,ST-524,963,385
176,ST-525,1829,1752
177,ST-526,556,531
178,ST-528,3026,3258
179,ST-530,3693,1516
180,ST-531,677,161
181,ST-532,358,102
182,ST-533,789,177
183,ST-534,223,345
184,ST-535,363,266
185,ST-536,137,92
186,ST-538,2754,256
187,ST-824,3974,1880
188,ST-828,2632,1403
189,ST-829,1332,943
190,ST-831,2756,1529
191,ST-834,3297,4316
192,ST-835,4264,2058
193,ST-975,2954,2508
