지점,지점명,일시,일강수량(mm)
108,서울,2023-04-04,6.9
108,서울,2023-04-05,50.3
108,서울,2023-04-06,2.7
108,서울,2023-04-11,2.9
108,서울,2023-04-13,0
108,서울,2023-04-15,4.6
108,서울,2023-04-16,0
108,서울,2023-04-18,1.5
108,서울,2023-04-20,.5
108,서울,2023-04-25,.4
108,서울,2023-04-26,0
108,서울,2023-04-28,1.9
108,서울,2023-04-29,25.1
108,서울,2023-04-30,.1
108,서울,2023-05-05,30.2
108,서울,2023-05-06,47.5
108,서울,2023-05-13,0
108,서울,2023-05-18,1.3
108,서울,2023-05-21,.2
108,서울,2023-05-22,0
108,서울,2023-05-25,0
108,서울,2023-05-26,.5
108,서울,2023-05-27,31.8
108,서울,2023-05-28,41.8
108,서울,2023-05-29,2.3
108,서울,2023-06-02,0
108,서울,2023-06-06,0
108,서울,2023-06-07,0
108,서울,2023-06-08,1.9
108,서울,2023-06-09,1.2
108,서울,2023-06-10,.8
108,서울,2023-06-11,32.2
108,서울,2023-06-12,0
108,서울,2023-06-13,0
108,서울,2023-06-14,30.6
108,서울,2023-06-20,6.4
108,서울,2023-06-21,24.9
108,서울,2023-06-22,0
108,서울,2023-06-26,30.3
108,서울,2023-06-27,2.5
108,서울,2023-06-28,0
108,서울,2023-06-29,63.8
108,서울,2023-06-30,1
108,서울,2023-07-04,61.8
108,서울,2023-07-05,15.3
108,서울,2023-07-09,47.5
108,서울,2023-07-10,11.5
108,서울,2023-07-11,58.3
108,서울,2023-07-12,.7
108,서울,2023-07-13,91.6
108,서울,2023-07-14,72.7
108,서울,2023-07-15,2.3
108,서울,2023-07-16,9.7
108,서울,2023-07-17,1.4
108,서울,2023-07-18,2.3
108,서울,2023-07-22,12.3
108,서울,2023-07-23,40.2
108,서울,2023-07-24,.4
108,서울,2023-07-25,5.6
108,서울,2023-07-26,1
108,서울,2023-07-27,0
108,서울,2023-07-30,25
108,서울,2023-07-31,.3
108,서울,2023-08-06,4.9
108,서울,2023-08-09,.2
108,서울,2023-08-10,86.1
108,서울,2023-08-11,46.7
108,서울,2023-08-12,1.5
108,서울,2023-08-16,.3
108,서울,2023-08-18,.1
108,서울,2023-08-20,0
108,서울,2023-08-21,0
108,서울,2023-08-22,42.6
108,서울,2023-08-23,41.8
108,서울,2023-08-24,5.2
108,서울,2023-08-25,0
108,서울,2023-08-27,0
108,서울,2023-08-28,10.4
108,서울,2023-08-29,54.8
108,서울,2023-08-30,3.5
108,서울,2023-09-03,.1
108,서울,2023-09-04,.3
108,서울,2023-09-05,0
108,서울,2023-09-13,15.9
108,서울,2023-09-15,2.1
108,서울,2023-09-16,38.7
108,서울,2023-09-17,3
108,서울,2023-09-20,35.8
108,서울,2023-09-21,0
108,서울,2023-09-25,1.9
108,서울,2023-09-26,27.8
108,서울,2023-09-27,4.4
108,서울,2023-09-30,4.5
108,서울,2023-10-04,14.7
108,서울,2023-10-08,0
108,서울,2023-10-09,1.2
108,서울,2023-10-14,5.8
108,서울,2023-10-19,8.2
108,서울,2023-10-21,1.1
108,서울,2023-10-26,0
108,서울,2023-11-01,0
108,서울,2023-11-03,8.5
108,서울,2023-11-05,10.4
108,서울,2023-11-06,45.8
108,서울,2023-11-07,0
108,서울,2023-11-09,5.1
108,서울,2023-11-16,8.4
108,서울,2023-11-17,0
108,서울,2023-11-23,.1
108,서울,2023-11-26,0
108,서울,2023-11-27,3.6
108,서울,2023-11-28,0
108,서울,2023-11-29,0
108,서울,2023-12-02,0
108,서울,2023-12-06,3.8
108,서울,2023-12-10,0
108,서울,2023-12-11,11.4
108,서울,2023-12-12,.4
108,서울,2023-12-14,17
108,서울,2023-12-15,31.1
108,서울,2023-12-16,1.5
108,서울,2023-12-19,.3
108,서울,2023-12-20,.8
108,서울,2023-12-24,1.1
108,서울,2023-12-25,.7
108,서울,2023-12-30,13.1
108,서울,2023-12-31,4.7
108,서울,2024-01-01,0
108,서울,2024-01-02,0
108,서울,2024-01-03,.6
108,서울,2024-01-05,0
108,서울,2024-01-06,2.4
108,서울,2024-01-09,1.6
108,서울,2024-01-14,3.1
108,서울,2024-01-17,9.7
108,서울,2024-01-18,.5
108,서울,2024-01-20,.4
108,서울,2024-01-21,.4
108,서울,2024-01-22,.2
108,서울,2024-02-03,0
108,서울,2024-02-05,3.9
108,서울,2024-02-06,.2
108,서울,2024-02-07,0
108,서울,2024-02-11,0
108,서울,2024-02-15,10.9
108,서울,2024-02-18,17.1
108,서울,2024-02-19,8.9
108,서울,2024-02-20,2.6
108,서울,2024-02-21,17.8
108,서울,2024-02-22,8.8
108,서울,2024-02-23,.4
108,서울,2024-02-24,2.3
108,서울,2024-02-25,1.8
108,서울,2024-03-02,0
108,서울,2024-03-07,2.1
108,서울,2024-03-12,2.1
108,서울,2024-03-17,.1
108,서울,2024-03-19,.2
108,서울,2024-03-22,5.4
108,서울,2024-03-23,.1
108,서울,2024-03-25,5.1
108,서울,2024-03-26,11.5
108,서울,2024-03-28,1.9
108,서울,2024-03-29,1.4
